title,movie_id,averagerating,numvotes,ordering,region,year,runtime_minutes,genres,directors,id,production_budget,domestic_gross,foreign_gross,profit,genres_numeric
Evolution,tt4291590,6.0,5266,10,XWW,2015,81.0,Drama,Lucile Hadzihalilovic,89,80000000.0,38311134.0,60030798.0,18341932.0,38
Evolution,tt4291590,6.0,5266,10,XWW,2015,81.0,Mystery,Lucile Hadzihalilovic,89,80000000.0,38311134.0,60030798.0,18341932.0,38
Evolution,tt4291590,6.0,5266,10,XWW,2015,81.0,Sci-Fi,Lucile Hadzihalilovic,89,80000000.0,38311134.0,60030798.0,18341932.0,38
Ex Machina,tt0470752,7.7,424542,10,DE,2014,108.0,Drama,Alex Garland,72,13000000.0,25440971.0,12917421.0,25358392.0,38
Ex Machina,tt0470752,7.7,424542,10,DE,2014,108.0,Mystery,Alex Garland,72,13000000.0,25440971.0,12917421.0,25358392.0,38
Ex Machina,tt0470752,7.7,424542,10,DE,2014,108.0,Sci-Fi,Alex Garland,72,13000000.0,25440971.0,12917421.0,25358392.0,38
Exodus,tt3006856,7.0,6,1,GB,2013,74.0,Sci-Fi,Mina Radovic,86,4000000.0,21750000.0,0.0,17750000.0,97
Fame,tt5861350,8.6,7,1,FR,2017,58.0,Documentary,Giacomo Abbruzzese,3,18000000.0,22455510.0,57772109.0,62227619.0,11
Fantastic Four,tt1502712,4.3,140148,10,PL,2015,100.0,Action,Josh Trank,98,120000000.0,56117548.0,111731639.0,47849187.0,10
Fantastic Four,tt1502712,4.3,140148,10,PL,2015,100.0,Adventure,Josh Trank,98,120000000.0,56117548.0,111731639.0,47849187.0,10
Fantastic Four,tt1502712,4.3,140148,10,PL,2015,100.0,Drama,Josh Trank,98,120000000.0,56117548.0,111731639.0,47849187.0,10
Fast Five,tt1596343,7.3,329892,10,FR,2011,130.0,Action,Justin Lin,67,125000000.0,210031325.0,420132129.0,505163454.0,64
Fast Five,tt1596343,7.3,329892,10,FR,2011,130.0,Crime,Justin Lin,67,125000000.0,210031325.0,420132129.0,505163454.0,64
Fast Five,tt1596343,7.3,329892,10,FR,2011,130.0,Thriller,Justin Lin,67,125000000.0,210031325.0,420132129.0,505163454.0,64
"Fat, Sick & Nearly Dead",tt1227378,7.6,8164,2,IT,2010,97.0,Documentary,Joe Cross,10,2600000.0,0.0,0.0,-2600000.0,11
Father Figures,tt1966359,5.5,14373,10,PT,2017,113.0,Adventure,Lawrence Sher,56,25000000.0,17501244.0,3537197.0,-3961559.0,105
Father Figures,tt1966359,5.5,14373,10,PT,2017,113.0,Comedy,Lawrence Sher,56,25000000.0,17501244.0,3537197.0,-3961559.0,105
Father Figures,tt1966359,5.5,14373,10,PT,2017,113.0,Drama,Lawrence Sher,56,25000000.0,17501244.0,3537197.0,-3961559.0,105
Father's Day,tt1727261,6.0,2482,1,FR,2011,99.0,Action,Conor Sweeney,24,85000000.0,28681080.0,7000000.0,-49318920.0,106
Father's Day,tt1727261,6.0,2482,1,FR,2011,99.0,Comedy,Conor Sweeney,24,85000000.0,28681080.0,7000000.0,-49318920.0,106
Father's Day,tt1727261,6.0,2482,1,FR,2011,99.0,Horror,Conor Sweeney,24,85000000.0,28681080.0,7000000.0,-49318920.0,106
Fear Clinic,tt2165765,5.0,6256,2,RU,2014,95.0,Horror,Robert Hall,19,1000000.0,0.0,0.0,-1000000.0,6
Fences,tt2671706,7.2,86749,10,EE,2016,139.0,Drama,Denzel Washington,37,24000000.0,57682904.0,6599977.0,40282881.0,5
Fifty Shades Darker,tt4465564,4.6,81706,10,MX,2017,118.0,Drama,James Foley,91,55000000.0,114434010.0,266964482.0,326398492.0,13
Fifty Shades Darker,tt4465564,4.6,81706,10,MX,2017,118.0,Romance,James Foley,91,55000000.0,114434010.0,266964482.0,326398492.0,13
Fifty Shades of Black,tt4667094,3.5,17189,10,PL,2016,92.0,Comedy,Michael Tiddes,15,5000000.0,11686940.0,10426135.0,17113075.0,25
Fight to the Finish,tt3152288,3.6,109,1,US,2016,94.0,Action,Warren Sheppard,83,500000.0,0.0,0.0,-500000.0,107
Fight to the Finish,tt3152288,3.6,109,1,US,2016,94.0,Romance,Warren Sheppard,83,500000.0,0.0,0.0,-500000.0,107
Fight to the Finish,tt3152288,3.6,109,1,US,2016,94.0,Sport,Warren Sheppard,83,500000.0,0.0,0.0,-500000.0,107
Finding Dory,tt2277860,7.3,213542,10,HR,2016,97.0,Adventure,Andrew Stanton,46,200000000.0,486295561.0,534919632.0,821215193.0,32
Finding Dory,tt2277860,7.3,213542,10,HR,2016,97.0,Animation,Andrew Stanton,46,200000000.0,486295561.0,534919632.0,821215193.0,32
Finding Dory,tt2277860,7.3,213542,10,HR,2016,97.0,Comedy,Andrew Stanton,46,200000000.0,486295561.0,534919632.0,821215193.0,32
Firestorm,tt3341072,6.2,2391,10,HU,2013,118.0,Action,Alan Yuen,47,19000000.0,8123860.0,0.0,-10876140.0,64
Firestorm,tt3341072,6.2,2391,10,HU,2013,118.0,Crime,Alan Yuen,47,19000000.0,8123860.0,0.0,-10876140.0,64
Firestorm,tt3341072,6.2,2391,10,HU,2013,118.0,Thriller,Alan Yuen,47,19000000.0,8123860.0,0.0,-10876140.0,64
First Man,tt1213641,7.4,120009,10,BG,2018,141.0,Biography,Damien Chazelle,6,60000000.0,44936545.0,60267280.0,45203825.0,3
First Man,tt1213641,7.4,120009,10,BG,2018,141.0,Drama,Damien Chazelle,6,60000000.0,44936545.0,60267280.0,45203825.0,3
First Man,tt1213641,7.4,120009,10,BG,2018,141.0,History,Damien Chazelle,6,60000000.0,44936545.0,60267280.0,45203825.0,3
Fist Fight,tt3401882,5.6,35136,10,UA,2017,91.0,Comedy,Richie Keen,29,25000000.0,32187017.0,8099399.0,15286416.0,25
Five Feet Apart,tt6472976,7.2,10645,10,US,2019,116.0,Drama,Justin Baldoni,91,7000000.0,45729221.0,34775200.0,73504421.0,13
Five Feet Apart,tt6472976,7.2,10645,10,US,2019,116.0,Romance,Justin Baldoni,91,7000000.0,45729221.0,34775200.0,73504421.0,13
Flipped,tt2388050,6.0,440,1,GB,2015,90.0,Drama,Harris Demel,22,14000000.0,1755212.0,2534781.0,-9710007.0,12
Flipped,tt2388050,6.0,440,1,GB,2015,90.0,Thriller,Harris Demel,22,14000000.0,1755212.0,2534781.0,-9710007.0,12
Focus,tt2949588,6.8,54,1,CA,2014,87.0,Comedy,Christopher Young,99,65000000.0,53862963.0,114202737.0,103065700.0,25
For Greater Glory: The True Story of Cristiada,tt1566501,6.6,4202,10,AR,2012,145.0,Drama,Dean Wright,14,12000000.0,5669081.0,4357174.0,-1973745.0,57
For Greater Glory: The True Story of Cristiada,tt1566501,6.6,4202,10,AR,2012,145.0,History,Dean Wright,14,12000000.0,5669081.0,4357174.0,-1973745.0,57
For Greater Glory: The True Story of Cristiada,tt1566501,6.6,4202,10,AR,2012,145.0,War,Dean Wright,14,12000000.0,5669081.0,4357174.0,-1973745.0,57
Forever My Girl,tt4103724,6.7,10316,1,IT,2018,108.0,Drama,Bethany Ashton Wolf,98,3500000.0,16376066.0,0.0,12876066.0,60
Forever My Girl,tt4103724,6.7,10316,1,IT,2018,108.0,Music,Bethany Ashton Wolf,98,3500000.0,16376066.0,0.0,12876066.0,60
Forever My Girl,tt4103724,6.7,10316,1,IT,2018,108.0,Romance,Bethany Ashton Wolf,98,3500000.0,16376066.0,0.0,12876066.0,60
Forget Me Not,tt5512456,7.1,15,1,NL,2016,83.0,Documentary,Jan Jaap Kuiper,44,1300000.0,0.0,13465.0,-1286535.0,11
Forsaken,tt4798436,4.6,13,1,ZA,2015,80.0,Drama,Willie Olwage,54,18000000.0,0.0,0.0,-18000000.0,5
Fort McCoy,tt1282046,5.9,319,2,RU,2011,100.0,Drama,Kate Connor,49,3000000.0,78948.0,0.0,-2921052.0,57
Fort McCoy,tt1282046,5.9,319,2,RU,2011,100.0,History,Kate Connor,49,3000000.0,78948.0,0.0,-2921052.0,57
Fort McCoy,tt1282046,5.9,319,2,RU,2011,100.0,War,Kate Connor,49,3000000.0,78948.0,0.0,-2921052.0,57
Four Lions,tt1341167,7.3,66209,10,FI,2010,97.0,Comedy,Christopher Morris,79,3750000.0,310007.0,2126104.0,-1313889.0,18
Four Lions,tt1341167,7.3,66209,10,FI,2010,97.0,Crime,Christopher Morris,79,3750000.0,310007.0,2126104.0,-1313889.0,18
Four Lions,tt1341167,7.3,66209,10,FI,2010,97.0,Drama,Christopher Morris,79,3750000.0,310007.0,2126104.0,-1313889.0,18
Frankenstein,tt2286560,1.9,67,1,US,2011,82.0,Drama,Jordan Salkil,3,45000000.0,22006296.0,90000000.0,67006296.0,74
Frankenstein,tt2286560,1.9,67,1,US,2011,82.0,Horror,Jordan Salkil,3,45000000.0,22006296.0,90000000.0,67006296.0,74
Freaks of Nature,tt1817771,5.9,9670,10,IT,2015,92.0,Comedy,Robbie Pickering,83,33000000.0,70958.0,0.0,-32929042.0,28
Freaks of Nature,tt1817771,5.9,9670,10,IT,2015,92.0,Horror,Robbie Pickering,83,33000000.0,70958.0,0.0,-32929042.0,28
Freaks of Nature,tt1817771,5.9,9670,10,IT,2015,92.0,Sci-Fi,Robbie Pickering,83,33000000.0,70958.0,0.0,-32929042.0,28
Free Fire,tt4158096,6.4,35954,10,RU,2016,91.0,Action,Ben Wheatley,83,10000000.0,1799322.0,1994417.0,-6206261.0,53
Free Fire,tt4158096,6.4,35954,10,RU,2016,91.0,Comedy,Ben Wheatley,83,10000000.0,1799322.0,1994417.0,-6206261.0,53
Free Fire,tt4158096,6.4,35954,10,RU,2016,91.0,Crime,Ben Wheatley,83,10000000.0,1799322.0,1994417.0,-6206261.0,53
Free State of Jones,tt1124037,6.9,45135,10,RO,2016,139.0,Action,Gary Ross,81,50000000.0,20810036.0,2427216.0,-26762748.0,108
Free State of Jones,tt1124037,6.9,45135,10,RO,2016,139.0,Biography,Gary Ross,81,50000000.0,20810036.0,2427216.0,-26762748.0,108
Free State of Jones,tt1124037,6.9,45135,10,RO,2016,139.0,Drama,Gary Ross,81,50000000.0,20810036.0,2427216.0,-26762748.0,108
Freedom,tt2584018,6.2,1371,11,US,2014,94.0,Drama,Peter Cousens,69,14500000.0,0.0,872757.0,-13627243.0,109
Freedom,tt2584018,6.2,1371,11,US,2014,94.0,Music,Peter Cousens,69,14500000.0,0.0,872757.0,-13627243.0,109
Freeheld,tt1658801,6.5,10534,10,IT,2015,103.0,Biography,Peter Sollett,51,7000000.0,546201.0,1186027.0,-5267772.0,110
Freeheld,tt1658801,6.5,10534,10,IT,2015,103.0,Drama,Peter Sollett,51,7000000.0,546201.0,1186027.0,-5267772.0,110
Freeheld,tt1658801,6.5,10534,10,IT,2015,103.0,Romance,Peter Sollett,51,7000000.0,546201.0,1186027.0,-5267772.0,110
Freeway,tt2076384,5.9,48,2,FR,2011,90.0,Drama,Christophe Sahr,40,3000000.0,295493.0,0.0,-2704507.0,5
Frenzy,tt4236994,8.1,16,1,AU,2015,90.0,Thriller,Aash Aaron,2,3500000.0,12600000.0,0.0,9100000.0,49
Frequency,tt2353965,5.9,16,1,US,2012,60.0,Sci-Fi,Jeff Prince,31,31000000.0,44983704.0,23095967.0,37079671.0,111
Frequency,tt2353965,5.9,16,1,US,2012,60.0,Thriller,Jeff Prince,31,31000000.0,44983704.0,23095967.0,37079671.0,111
Friday,tt2344824,5.9,193,1,IN,2012,117.0,Family,Lijin Jose,93,3500000.0,27467564.0,469214.0,24436778.0,112
Friend Request,tt2277308,4.0,116,1,US,2013,91.0,Thriller,Jason Falasco,48,9900000.0,3759078.0,7551757.0,1410835.0,49
Friends with Benefits,tt1632708,6.6,317338,10,VN,2011,109.0,Comedy,Will Gluck,55,35000000.0,55802754.0,90793137.0,111595891.0,24
Friends with Benefits,tt1632708,6.6,317338,10,VN,2011,109.0,Romance,Will Gluck,55,35000000.0,55802754.0,90793137.0,111595891.0,24
Frozen,tt2294629,7.5,516998,10,SE,2013,102.0,Adventure,Chris Buck,56,150000000.0,400738009.0,871731901.0,1122469910.0,32
Frozen,tt2294629,7.5,516998,10,SE,2013,102.0,Animation,Chris Buck,56,150000000.0,400738009.0,871731901.0,1122469910.0,32
Frozen,tt2294629,7.5,516998,10,SE,2013,102.0,Comedy,Chris Buck,56,150000000.0,400738009.0,871731901.0,1122469910.0,32
Fugly,tt3683702,4.7,920,2,IN,2014,134.0,Drama,Kabir Sadanand,56,4500000.0,0.0,0.0,-4500000.0,12
Fugly,tt3683702,4.7,920,2,IN,2014,134.0,Thriller,Kabir Sadanand,56,4500000.0,0.0,0.0,-4500000.0,12
Fun Size,tt1663143,5.4,12926,10,GR,2012,86.0,Adventure,Josh Schwartz,10,14000000.0,9409538.0,1757077.0,-2833385.0,113
Fun Size,tt1663143,5.4,12926,10,GR,2012,86.0,Comedy,Josh Schwartz,10,14000000.0,9409538.0,1757077.0,-2833385.0,113
Furry Vengeance,tt0492389,3.8,14700,10,PL,2010,92.0,Comedy,Roger Kumble,17,35000000.0,17630465.0,21709712.0,4340177.0,87
Furry Vengeance,tt0492389,3.8,14700,10,PL,2010,92.0,Family,Roger Kumble,17,35000000.0,17630465.0,21709712.0,4340177.0,87
G.I. Joe: Retaliation,tt1583421,5.8,165536,10,VE,2013,110.0,Action,Jon M. Chu,13,140000000.0,122523060.0,253217645.0,235740705.0,47
G.I. Joe: Retaliation,tt1583421,5.8,165536,10,VE,2013,110.0,Adventure,Jon M. Chu,13,140000000.0,122523060.0,253217645.0,235740705.0,47
G.I. Joe: Retaliation,tt1583421,5.8,165536,10,VE,2013,110.0,Sci-Fi,Jon M. Chu,13,140000000.0,122523060.0,253217645.0,235740705.0,47
Game Night,tt2704998,7.0,163279,10,SI,2018,100.0,Action,John Francis Daley,94,37000000.0,69179066.0,48199018.0,80378084.0,53
Game Night,tt2704998,7.0,163279,10,SI,2018,100.0,Comedy,John Francis Daley,94,37000000.0,69179066.0,48199018.0,80378084.0,53
Game Night,tt2704998,7.0,163279,10,SI,2018,100.0,Crime,John Francis Daley,94,37000000.0,69179066.0,48199018.0,80378084.0,53
Gamer,tt2217809,5.0,416,1,RU,2011,92.0,Drama,Oleg Sentsov,82,50000000.0,20534907.0,21467122.0,-7997971.0,5
Gangster Squad,tt1321870,6.7,195560,10,RO,2013,113.0,Action,Ruben Fleischer,4,60000000.0,46000903.0,58100000.0,44100903.0,21
