title,movie_id,averagerating,numvotes,ordering,region,year,runtime_minutes,genres,directors,id,production_budget,domestic_gross,foreign_gross,profit,genres_numeric
Grace,tt1555814,6.5,19,1,CA,2011,98.0,Crime,Rodger Edralin,80,5000000.0,8297.0,0.0,-4991703.0,0
Grace,tt1555814,6.5,19,1,CA,2011,98.0,Drama,Rodger Edralin,80,5000000.0,8297.0,0.0,-4991703.0,0
Grace,tt1555814,6.5,19,1,CA,2011,98.0,Horror,Rodger Edralin,80,5000000.0,8297.0,0.0,-4991703.0,0
Grace of Monaco,tt2095649,5.7,16685,10,UA,2014,103.0,Biography,Olivier Dahan,8,30000000.0,0.0,25199891.0,-4800109.0,110
Grace of Monaco,tt2095649,5.7,16685,10,UA,2014,103.0,Drama,Olivier Dahan,8,30000000.0,0.0,25199891.0,-4800109.0,110
Grace of Monaco,tt2095649,5.7,16685,10,UA,2014,103.0,Romance,Olivier Dahan,8,30000000.0,0.0,25199891.0,-4800109.0,110
Gracie,tt1196939,7.0,31,2,GB,2015,71.0,Crime,Jane Alexandra Foster,2,9000000.0,2956339.0,965704.0,-5077957.0,118
Gracie,tt1196939,7.0,31,2,GB,2015,71.0,Drama,Jane Alexandra Foster,2,9000000.0,2956339.0,965704.0,-5077957.0,118
Gracie,tt1196939,7.0,31,2,GB,2015,71.0,Fantasy,Jane Alexandra Foster,2,9000000.0,2956339.0,965704.0,-5077957.0,118
Grave Encounters,tt1703199,6.1,48125,10,UA,2011,92.0,Horror,Stuart Ortiz,76,2000000.0,0.0,2151887.0,151887.0,6
Green Book,tt6966692,8.3,204972,10,AR,2018,130.0,Biography,Peter Farrelly,71,23000000.0,85080171.0,236954268.0,299034439.0,52
Green Book,tt6966692,8.3,204972,10,AR,2018,130.0,Comedy,Peter Farrelly,71,23000000.0,85080171.0,236954268.0,299034439.0,52
Green Book,tt6966692,8.3,204972,10,AR,2018,130.0,Drama,Peter Farrelly,71,23000000.0,85080171.0,236954268.0,299034439.0,52
Green Lantern,tt1133985,5.5,252281,11,SI,2011,114.0,Action,Martin Campbell,62,200000000.0,116601172.0,102934320.0,19535492.0,47
Green Lantern,tt1133985,5.5,252281,11,SI,2011,114.0,Adventure,Martin Campbell,62,200000000.0,116601172.0,102934320.0,19535492.0,47
Green Lantern,tt1133985,5.5,252281,11,SI,2011,114.0,Sci-Fi,Martin Campbell,62,200000000.0,116601172.0,102934320.0,19535492.0,47
