,movie_id,directors,averagerating,numvotes,title,region,year,runtime_minutes,genres,production_budget,domestic_gross,foreign_gross,profit,roi
17,tt1125929,Taylor Hackford,5.6,2742,Love Ranch,US,2010,117.0,Drama,25000000.0,137885.0,8264.0,-24853851.0,-0.99415404
18,tt1126591,Steve Antin,6.4,71021,Burlesque,DE,2010,119.0,Drama,55000000.0,39440655.0,51112020.0,35552675.0,0.6464122727272728
18,tt1126591,Steve Antin,6.4,71021,Burlesque,DE,2010,119.0,Music,55000000.0,39440655.0,51112020.0,35552675.0,0.6464122727272728
18,tt1126591,Steve Antin,6.4,71021,Burlesque,DE,2010,119.0,Musical,55000000.0,39440655.0,51112020.0,35552675.0,0.6464122727272728
19,tt1152822,Seth Gordon,6.4,6466,Freakonomics,GR,2010,93.0,Documentary,2900000.0,101270.0,71597.0,-2727133.0,-0.9403906896551724
24,tt1282140,Will Gluck,7.1,330125,Easy A,AR,2010,92.0,Comedy,8000000.0,58401464.0,17799257.0,68200721.0,8.525090125
24,tt1282140,Will Gluck,7.1,330125,Easy A,AR,2010,92.0,Drama,8000000.0,58401464.0,17799257.0,68200721.0,8.525090125
24,tt1282140,Will Gluck,7.1,330125,Easy A,AR,2010,92.0,Romance,8000000.0,58401464.0,17799257.0,68200721.0,8.525090125
25,tt1287468,Brad Peyton,4.3,12642,Cats & Dogs: The Revenge of Kitty Galore,US,2010,82.0,Action,85000000.0,43585753.0,69440630.0,28026383.0,0.32972215294117646
25,tt1287468,Brad Peyton,4.3,12642,Cats & Dogs: The Revenge of Kitty Galore,US,2010,82.0,Comedy,85000000.0,43585753.0,69440630.0,28026383.0,0.32972215294117646
25,tt1287468,Brad Peyton,4.3,12642,Cats & Dogs: The Revenge of Kitty Galore,US,2010,82.0,Family,85000000.0,43585753.0,69440630.0,28026383.0,0.32972215294117646
27,tt1135084,John Luessenhop,6.2,53377,Takers,RO,2010,107.0,Action,32000000.0,57744720.0,12842548.0,38587268.0,1.205852125
27,tt1135084,John Luessenhop,6.2,53377,Takers,RO,2010,107.0,Crime,32000000.0,57744720.0,12842548.0,38587268.0,1.205852125
27,tt1135084,John Luessenhop,6.2,53377,Takers,RO,2010,107.0,Thriller,32000000.0,57744720.0,12842548.0,38587268.0,1.205852125
28,tt1285016,David Fincher,7.7,568578,The Social Network,SI,2010,120.0,Biography,40000000.0,96962694.0,127959441.0,184922135.0,4.623053375
28,tt1285016,David Fincher,7.7,568578,The Social Network,SI,2010,120.0,Drama,40000000.0,96962694.0,127959441.0,184922135.0,4.623053375
29,tt1130964,Rick Bieber,5.7,1379,The 5th Quarter,US,2010,90.0,Biography,6000000.0,408159.0,0.0,-5591841.0,-0.9319735
29,tt1130964,Rick Bieber,5.7,1379,The 5th Quarter,US,2010,90.0,Drama,6000000.0,408159.0,0.0,-5591841.0,-0.9319735
29,tt1130964,Rick Bieber,5.7,1379,The 5th Quarter,US,2010,90.0,Sport,6000000.0,408159.0,0.0,-5591841.0,-0.9319735
30,tt1130884,Martin Scorsese,8.1,1005960,Shutter Island,LV,2010,138.0,Mystery,80000000.0,128012934.0,171448848.0,219461782.0,2.743272275
30,tt1130884,Martin Scorsese,8.1,1005960,Shutter Island,LV,2010,138.0,Thriller,80000000.0,128012934.0,171448848.0,219461782.0,2.743272275
31,tt1129412,Michael W. Watkins,3.4,610,Circle,RO,2010,88.0,Horror,2000000.0,10024.0,0.0,-1989976.0,-0.994988
31,tt1129412,Michael W. Watkins,3.4,610,Circle,RO,2010,88.0,Thriller,2000000.0,10024.0,0.0,-1989976.0,-0.994988
32,tt1126618,Roger Michell,6.5,67367,Morning Glory,HU,2010,107.0,Comedy,40000000.0,31011732.0,28783338.0,19795070.0,0.49487675
32,tt1126618,Roger Michell,6.5,67367,Morning Glory,HU,2010,107.0,Drama,40000000.0,31011732.0,28783338.0,19795070.0,0.49487675
32,tt1126618,Roger Michell,6.5,67367,Morning Glory,HU,2010,107.0,Romance,40000000.0,31011732.0,28783338.0,19795070.0,0.49487675
33,tt1139328,Roman Polanski,7.2,148274,The Ghost Writer,GR,2010,128.0,Drama,45000000.0,15541549.0,49990942.0,20532491.0,0.4562775777777778
33,tt1139328,Roman Polanski,7.2,148274,The Ghost Writer,GR,2010,128.0,Mystery,45000000.0,15541549.0,49990942.0,20532491.0,0.4562775777777778
33,tt1139328,Roman Polanski,7.2,148274,The Ghost Writer,GR,2010,128.0,Thriller,45000000.0,15541549.0,49990942.0,20532491.0,0.4562775777777778
34,tt1509803,Leon Ford,6.1,4478,Griff the Invisible,AU,2010,90.0,Comedy,2900000.0,20778.0,5157.0,-2874065.0,-0.9910568965517241
34,tt1509803,Leon Ford,6.1,4478,Griff the Invisible,AU,2010,90.0,Drama,2900000.0,20778.0,5157.0,-2874065.0,-0.9910568965517241
34,tt1509803,Leon Ford,6.1,4478,Griff the Invisible,AU,2010,90.0,Romance,2900000.0,20778.0,5157.0,-2874065.0,-0.9910568965517241
35,tt1512235,James Gunn,6.8,70604,Super,RU,2010,96.0,Action,2500000.0,327716.0,266217.0,-1906067.0,-0.7624268
35,tt1512235,James Gunn,6.8,70604,Super,RU,2010,96.0,Comedy,2500000.0,327716.0,266217.0,-1906067.0,-0.7624268
35,tt1512235,James Gunn,6.8,70604,Super,RU,2010,96.0,Drama,2500000.0,327716.0,266217.0,-1906067.0,-0.7624268
36,tt1405500,Tyler Perry,6.1,6728,For Colored Girls,TR,2010,133.0,Drama,21000000.0,37729698.0,288175.0,17017873.0,0.8103749047619048
37,tt1529567,Ronan Chapalain,6.9,364,Sea Rex 3D: Journey to a Prehistoric World,FI,2010,41.0,Documentary,5000000.0,6096582.0,10418621.0,11515203.0,2.3030406
38,tt1032751,Sngmoo Lee,6.3,24271,The Warrior's Way,PL,2010,100.0,Action,42000000.0,5666340.0,2847985.0,-33485675.0,-0.7972779761904762
38,tt1032751,Sngmoo Lee,6.3,24271,The Warrior's Way,PL,2010,100.0,Fantasy,42000000.0,5666340.0,2847985.0,-33485675.0,-0.7972779761904762
38,tt1032751,Sngmoo Lee,6.3,24271,The Warrior's Way,PL,2010,100.0,Western,42000000.0,5666340.0,2847985.0,-33485675.0,-0.7972779761904762
40,tt1028576,Randall Wallace,7.2,24536,Secretariat,GR,2010,123.0,Biography,35000000.0,59699513.0,676734.0,25376247.0,0.7250356285714286
40,tt1028576,Randall Wallace,7.2,24536,Secretariat,GR,2010,123.0,Drama,35000000.0,59699513.0,676734.0,25376247.0,0.7250356285714286
40,tt1028576,Randall Wallace,7.2,24536,Secretariat,GR,2010,123.0,Family,35000000.0,59699513.0,676734.0,25376247.0,0.7250356285714286
41,tt1529572,David Schwimmer,6.9,39422,Trust,US,2010,106.0,Crime,4000000.0,120016.0,0.0,-3879984.0,-0.969996
41,tt1529572,David Schwimmer,6.9,39422,Trust,US,2010,106.0,Drama,4000000.0,120016.0,0.0,-3879984.0,-0.969996
41,tt1529572,David Schwimmer,6.9,39422,Trust,US,2010,106.0,Thriller,4000000.0,120016.0,0.0,-3879984.0,-0.969996
42,tt1020558,Neil Marshall,6.4,74085,Centurion,CZ,2010,97.0,Action,15000000.0,123570.0,7761478.0,-7114952.0,-0.47433013333333335
42,tt1020558,Neil Marshall,6.4,74085,Centurion,CZ,2010,97.0,Adventure,15000000.0,123570.0,7761478.0,-7114952.0,-0.47433013333333335
42,tt1020558,Neil Marshall,6.4,74085,Centurion,CZ,2010,97.0,Drama,15000000.0,123570.0,7761478.0,-7114952.0,-0.47433013333333335
43,tt1313092,David Michôd,7.3,51576,Animal Kingdom,AU,2010,113.0,Crime,4200000.0,1044039.0,7034644.0,3878683.0,0.9234959523809524
43,tt1313092,David Michôd,7.3,51576,Animal Kingdom,AU,2010,113.0,Drama,4200000.0,1044039.0,7034644.0,3878683.0,0.9234959523809524
44,tt1247667,John Stalberg Jr.,5.8,7060,High School,RU,2010,99.0,Comedy,10000000.0,139034.0,109099.0,-9751867.0,-0.9751867
45,tt1017451,Floria Sigismondi,6.6,43792,The Runaways,RS,2010,106.0,Biography,9500000.0,3573673.0,1704959.0,-4221368.0,-0.4443545263157895
45,tt1017451,Floria Sigismondi,6.6,43792,The Runaways,RS,2010,106.0,Drama,9500000.0,3573673.0,1704959.0,-4221368.0,-0.4443545263157895
45,tt1017451,Floria Sigismondi,6.6,43792,The Runaways,RS,2010,106.0,Music,9500000.0,3573673.0,1704959.0,-4221368.0,-0.4443545263157895
46,tt1669617,Chia-Chien Chen,4.2,66,Home Run,TW,2010,82.0,Drama,1200000.0,2859955.0,0.0,1659955.0,1.3832958333333334
46,tt1669617,Chia-Chien Chen,4.2,66,Home Run,TW,2010,82.0,Family,1200000.0,2859955.0,0.0,1659955.0,1.3832958333333334
46,tt1669617,Chia-Chien Chen,4.2,66,Home Run,TW,2010,82.0,Sport,1200000.0,2859955.0,0.0,1659955.0,1.3832958333333334
47,tt1534085,Panos Cosmatos,6.0,10765,Beyond the Black Rainbow,CA,2010,110.0,Horror,1100000.0,56491.0,0.0,-1043509.0,-0.9486445454545455
47,tt1534085,Panos Cosmatos,6.0,10765,Beyond the Black Rainbow,CA,2010,110.0,Sci-Fi,1100000.0,56491.0,0.0,-1043509.0,-0.9486445454545455
47,tt1534085,Panos Cosmatos,6.0,10765,Beyond the Black Rainbow,CA,2010,110.0,Thriller,1100000.0,56491.0,0.0,-1043509.0,-0.9486445454545455
48,tt1014759,Tim Burton,6.5,358813,Alice in Wonderland,IE,2010,108.0,Adventure,200000000.0,334191110.0,691300000.0,825491110.0,4.12745555
48,tt1014759,Tim Burton,6.5,358813,Alice in Wonderland,IE,2010,108.0,Family,200000000.0,334191110.0,691300000.0,825491110.0,4.12745555
48,tt1014759,Tim Burton,6.5,358813,Alice in Wonderland,IE,2010,108.0,Fantasy,200000000.0,334191110.0,691300000.0,825491110.0,4.12745555
49,tt1013860,Kevin Munroe,5.1,14120,Dylan Dog: Dead of Night,HU,2010,107.0,Action,20000000.0,1186538.0,4907187.0,-13906275.0,-0.69531375
49,tt1013860,Kevin Munroe,5.1,14120,Dylan Dog: Dead of Night,HU,2010,107.0,Comedy,20000000.0,1186538.0,4907187.0,-13906275.0,-0.69531375
49,tt1013860,Kevin Munroe,5.1,14120,Dylan Dog: Dead of Night,HU,2010,107.0,Crime,20000000.0,1186538.0,4907187.0,-13906275.0,-0.69531375
50,tt1013743,James Mangold,6.3,169840,Knight and Day,ES,2010,109.0,Action,117000000.0,76423035.0,182328335.0,141751370.0,1.211550170940171
50,tt1013743,James Mangold,6.3,169840,Knight and Day,ES,2010,109.0,Adventure,117000000.0,76423035.0,182328335.0,141751370.0,1.211550170940171
50,tt1013743,James Mangold,6.3,169840,Knight and Day,ES,2010,109.0,Comedy,117000000.0,76423035.0,182328335.0,141751370.0,1.211550170940171
51,tt1532503,Mike Mills,7.2,83770,Beginners,IL,2010,105.0,Comedy,3200000.0,5790894.0,8523513.0,11114407.0,3.4732521875
51,tt1532503,Mike Mills,7.2,83770,Beginners,IL,2010,105.0,Drama,3200000.0,5790894.0,8523513.0,11114407.0,3.4732521875
51,tt1532503,Mike Mills,7.2,83770,Beginners,IL,2010,105.0,Romance,3200000.0,5790894.0,8523513.0,11114407.0,3.4732521875
52,tt1748124,Brandon Arnold,4.5,8,Much Ado About Nothing,US,2010,68.0,Comedy,8000000.0,22549338.0,0.0,14549338.0,1.81866725
52,tt1748124,Brandon Arnold,4.5,8,Much Ado About Nothing,US,2010,68.0,Drama,8000000.0,22549338.0,0.0,14549338.0,1.81866725
52,tt1748124,Brandon Arnold,4.5,8,Much Ado About Nothing,US,2010,68.0,Romance,8000000.0,22549338.0,0.0,14549338.0,1.81866725
53,tt1037705,Allen Hughes,6.9,271307,The Book of Eli,SK,2010,118.0,Action,80000000.0,94835059.0,63915758.0,78750817.0,0.9843852125
53,tt1037705,Allen Hughes,6.9,271307,The Book of Eli,SK,2010,118.0,Adventure,80000000.0,94835059.0,63915758.0,78750817.0,0.9843852125
53,tt1037705,Allen Hughes,6.9,271307,The Book of Eli,SK,2010,118.0,Drama,80000000.0,94835059.0,63915758.0,78750817.0,0.9843852125
55,tt1517177,Tom Tykwer,6.7,4722,3,HK,2010,119.0,Comedy,7200000.0,59774.0,235718.0,-6904508.0,-0.9589594444444445
