,movie_id,directors,averagerating,numvotes,title,region,year,runtime_minutes,genres,production_budget,domestic_gross,foreign_gross,profit,roi
254,tt0964517,David O. Russell,7.8,316539,The Fighter,AR,2010,116.0,Biography,11000000.0,93617009.0,35645379.0,118262388.0,10.751126181818181
254,tt0964517,David O. Russell,7.8,316539,The Fighter,AR,2010,116.0,Drama,11000000.0,93617009.0,35645379.0,118262388.0,10.751126181818181
254,tt0964517,David O. Russell,7.8,316539,The Fighter,AR,2010,116.0,Sport,11000000.0,93617009.0,35645379.0,118262388.0,10.751126181818181
255,tt0963966,Jon Turteltaub,6.1,143862,The Sorcerer's Apprentice,PL,2010,109.0,Action,160000000.0,63150991.0,154835329.0,57986320.0,0.3624145
255,tt0963966,Jon Turteltaub,6.1,143862,The Sorcerer's Apprentice,PL,2010,109.0,Adventure,160000000.0,63150991.0,154835329.0,57986320.0,0.3624145
255,tt0963966,Jon Turteltaub,6.1,143862,The Sorcerer's Apprentice,PL,2010,109.0,Family,160000000.0,63150991.0,154835329.0,57986320.0,0.3624145
256,tt0955308,Ridley Scott,6.6,239480,Robin Hood,RU,2010,140.0,Action,210000000.0,105487148.0,216971858.0,112459006.0,0.5355190761904762
256,tt0955308,Ridley Scott,6.6,239480,Robin Hood,RU,2010,140.0,Adventure,210000000.0,105487148.0,216971858.0,112459006.0,0.5355190761904762
256,tt0955308,Ridley Scott,6.6,239480,Robin Hood,RU,2010,140.0,Drama,210000000.0,105487148.0,216971858.0,112459006.0,0.5355190761904762
257,tt1321509,Neil LaBute,5.7,42042,Death at a Funeral,BG,2010,92.0,Comedy,21000000.0,42739347.0,6237886.0,27977233.0,1.3322491904761904
258,tt0879870,Ryan Murphy,5.8,77709,Eat Pray Love,RO,2010,133.0,Drama,60000000.0,80574010.0,126024779.0,146598789.0,2.44331315
258,tt0879870,Ryan Murphy,5.8,77709,Eat Pray Love,RO,2010,133.0,Romance,60000000.0,80574010.0,126024779.0,146598789.0,2.44331315
259,tt1250777,Matthew Vaughn,7.6,497363,Kick-Ass,NL,2010,117.0,Action,28000000.0,48071303.0,49459831.0,69531134.0,2.4832547857142857
259,tt1250777,Matthew Vaughn,7.6,497363,Kick-Ass,NL,2010,117.0,Comedy,28000000.0,48071303.0,49459831.0,69531134.0,2.4832547857142857
260,tt1564021,Martin Butler,7.3,23,Contact,AU,2010,79.0,Documentary,90000000.0,100920329.0,64979671.0,75900000.0,0.8433333333333334
260,tt1564021,Martin Butler,7.3,23,Contact,AU,2010,79.0,History,90000000.0,100920329.0,64979671.0,75900000.0,0.8433333333333334
261,tt1564585,Greg Strause,4.4,83710,Skyline,AR,2010,92.0,Action,10000000.0,21416355.0,46848618.0,58264973.0,5.8264973
261,tt1564585,Greg Strause,4.4,83710,Skyline,AR,2010,92.0,Sci-Fi,10000000.0,21416355.0,46848618.0,58264973.0,5.8264973
261,tt1564585,Greg Strause,4.4,83710,Skyline,AR,2010,92.0,Thriller,10000000.0,21416355.0,46848618.0,58264973.0,5.8264973
263,tt2241035,Ebrahim Hatamikia,6.6,1299,The Color Purple,XWW,2010,97.0,Action,15000000.0,93589701.0,0.0,78589701.0,5.2393134
263,tt2241035,Ebrahim Hatamikia,6.6,1299,The Color Purple,XWW,2010,97.0,Drama,15000000.0,93589701.0,0.0,78589701.0,5.2393134
264,tt0817230,Garry Marshall,5.7,107171,Valentine's Day,RO,2010,125.0,Comedy,52000000.0,110485654.0,107083674.0,165569328.0,3.1840255384615386
264,tt0817230,Garry Marshall,5.7,107171,Valentine's Day,RO,2010,125.0,Romance,52000000.0,110485654.0,107083674.0,165569328.0,3.1840255384615386
265,tt0840361,Ben Affleck,7.6,322524,The Town,IL,2010,125.0,Crime,37000000.0,92186262.0,60380619.0,115566881.0,3.1234292162162163
265,tt0840361,Ben Affleck,7.6,322524,The Town,IL,2010,125.0,Drama,37000000.0,92186262.0,60380619.0,115566881.0,3.1234292162162163
265,tt0840361,Ben Affleck,7.6,322524,The Town,IL,2010,125.0,Thriller,37000000.0,92186262.0,60380619.0,115566881.0,3.1234292162162163
266,tt0817177,Rob Reiner,7.7,74937,Flipped,BG,2010,90.0,Comedy,14000000.0,1755212.0,2534781.0,-9710007.0,-0.6935719285714286
266,tt0817177,Rob Reiner,7.7,74937,Flipped,BG,2010,90.0,Drama,14000000.0,1755212.0,2534781.0,-9710007.0,-0.6935719285714286
266,tt0817177,Rob Reiner,7.7,74937,Flipped,BG,2010,90.0,Romance,14000000.0,1755212.0,2534781.0,-9710007.0,-0.6935719285714286
268,tt0842926,Lisa Cholodenko,7.0,120656,The Kids Are All Right,UY,2010,106.0,Comedy,4000000.0,20811365.0,15464104.0,32275469.0,8.06886725
268,tt0842926,Lisa Cholodenko,7.0,120656,The Kids Are All Right,UY,2010,106.0,Drama,4000000.0,20811365.0,15464104.0,32275469.0,8.06886725
268,tt0842926,Lisa Cholodenko,7.0,120656,The Kids Are All Right,UY,2010,106.0,Romance,4000000.0,20811365.0,15464104.0,32275469.0,8.06886725
269,tt1564916,Roberto Santucci,5.7,1952,Head Over Heels,BR,2010,101.0,Comedy,14000000.0,10397365.0,0.0,-3602635.0,-0.2573310714285714
270,tt1832471,William Winckler,7.1,324,Space Pirate Captain Harlock,JP,2010,100.0,Animation,30000000.0,0.0,310985.0,-29689015.0,-0.9896338333333333
270,tt1832471,William Winckler,7.1,324,Space Pirate Captain Harlock,JP,2010,100.0,Sci-Fi,30000000.0,0.0,310985.0,-29689015.0,-0.9896338333333333
271,tt1562847,John Sayles,5.9,514,Amigo,RU,2010,124.0,Drama,1500000.0,184705.0,0.0,-1315295.0,-0.8768633333333333
271,tt1562847,John Sayles,5.9,514,Amigo,RU,2010,124.0,War,1500000.0,184705.0,0.0,-1315295.0,-0.8768633333333333
272,tt1399683,Debra Granik,7.2,127751,Winter's Bone,BR,2010,100.0,Drama,2000000.0,6531503.0,9600048.0,14131551.0,7.0657755
272,tt1399683,Debra Granik,7.2,127751,Winter's Bone,BR,2010,100.0,Mystery,2000000.0,6531503.0,9600048.0,14131551.0,7.0657755
273,tt1323045,Adam Green,6.2,62311,Frozen,SE,2010,93.0,Adventure,150000000.0,400738009.0,871731901.0,1122469910.0,7.483132733333333
273,tt1323045,Adam Green,6.2,62311,Frozen,SE,2010,93.0,Drama,150000000.0,400738009.0,871731901.0,1122469910.0,7.483132733333333
273,tt1323045,Adam Green,6.2,62311,Frozen,SE,2010,93.0,Sport,150000000.0,400738009.0,871731901.0,1122469910.0,7.483132733333333
274,tt1560957,Ray Griggs,5.1,1244,I Want Your Money,US,2010,92.0,Documentary,400000.0,433588.0,0.0,33588.0,0.08397
275,tt0872230,Wes Craven,4.8,18381,My Soul to Take,TR,2010,107.0,Horror,25000000.0,14744435.0,1983035.0,-8272530.0,-0.3309012
275,tt0872230,Wes Craven,4.8,18381,My Soul to Take,TR,2010,107.0,Mystery,25000000.0,14744435.0,1983035.0,-8272530.0,-0.3309012
275,tt0872230,Wes Craven,4.8,18381,My Soul to Take,TR,2010,107.0,Thriller,25000000.0,14744435.0,1983035.0,-8272530.0,-0.3309012
276,tt1322312,Nanette Burstein,6.3,54421,Going the Distance,FR,2010,102.0,Comedy,32000000.0,17804299.0,25799691.0,11603990.0,0.3626246875
276,tt1322312,Nanette Burstein,6.3,54421,Going the Distance,FR,2010,102.0,Romance,32000000.0,17804299.0,25799691.0,11603990.0,0.3626246875
277,tt0850709,Neil Jones,5.3,182,Risen,GB,2010,121.0,Biography,20000000.0,36880033.0,9375730.0,26255763.0,1.31278815
277,tt0850709,Neil Jones,5.3,182,Risen,GB,2010,121.0,Drama,20000000.0,36880033.0,9375730.0,26255763.0,1.31278815
278,tt0878835,Nicole Holofcener,6.6,10652,Please Give,TR,2010,87.0,Comedy,3000000.0,4033574.0,536604.0,1570178.0,0.5233926666666666
278,tt0878835,Nicole Holofcener,6.6,10652,Please Give,TR,2010,87.0,Drama,3000000.0,4033574.0,536604.0,1570178.0,0.5233926666666666
279,tt0815236,Jim Field Smith,6.4,117245,She's Out of My League,GR,2010,104.0,Comedy,20000000.0,32010860.0,16670117.0,28680977.0,1.43404885
279,tt0815236,Jim Field Smith,6.4,117245,She's Out of My League,GR,2010,104.0,Romance,20000000.0,32010860.0,16670117.0,28680977.0,1.43404885
280,tt1372686,Ralph Fiennes,6.1,29654,Coriolanus,HR,2011,123.0,Drama,10000000.0,749641.0,1429982.0,-7820377.0,-0.7820377
280,tt1372686,Ralph Fiennes,6.1,29654,Coriolanus,HR,2011,123.0,Thriller,10000000.0,749641.0,1429982.0,-7820377.0,-0.7820377
280,tt1372686,Ralph Fiennes,6.1,29654,Coriolanus,HR,2011,123.0,War,10000000.0,749641.0,1429982.0,-7820377.0,-0.7820377
281,tt1411704,Tim Hill,5.4,28893,Hop,US,2011,95.0,Adventure,63000000.0,108085305.0,80572288.0,125657593.0,1.9945649682539683
281,tt1411704,Tim Hill,5.4,28893,Hop,US,2011,95.0,Animation,63000000.0,108085305.0,80572288.0,125657593.0,1.9945649682539683
281,tt1411704,Tim Hill,5.4,28893,Hop,US,2011,95.0,Comedy,63000000.0,108085305.0,80572288.0,125657593.0,1.9945649682539683
282,tt1399103,Michael Bay,6.2,366409,Transformers: Dark of the Moon,RS,2011,154.0,Action,195000000.0,352390543.0,771400000.0,928790543.0,4.763028425641026
282,tt1399103,Michael Bay,6.2,366409,Transformers: Dark of the Moon,RS,2011,154.0,Adventure,195000000.0,352390543.0,771400000.0,928790543.0,4.763028425641026
282,tt1399103,Michael Bay,6.2,366409,Transformers: Dark of the Moon,RS,2011,154.0,Sci-Fi,195000000.0,352390543.0,771400000.0,928790543.0,4.763028425641026
283,tt1402488,David Peers,5.9,38396,Happy Feet Two,PL,2011,100.0,Adventure,135000000.0,64006466.0,93950000.0,22956466.0,0.1700478962962963
283,tt1402488,David Peers,5.9,38396,Happy Feet Two,PL,2011,100.0,Animation,135000000.0,64006466.0,93950000.0,22956466.0,0.1700478962962963
283,tt1402488,David Peers,5.9,38396,Happy Feet Two,PL,2011,100.0,Comedy,135000000.0,64006466.0,93950000.0,22956466.0,0.1700478962962963
284,tt1412386,John Madden,7.3,85811,The Best Exotic Marigold Hotel,PE,2011,124.0,Comedy,10000000.0,46383639.0,88256141.0,124639780.0,12.463978
284,tt1412386,John Madden,7.3,85811,The Best Exotic Marigold Hotel,PE,2011,124.0,Drama,10000000.0,46383639.0,88256141.0,124639780.0,12.463978
284,tt1412386,John Madden,7.3,85811,The Best Exotic Marigold Hotel,PE,2011,124.0,Romance,10000000.0,46383639.0,88256141.0,124639780.0,12.463978
285,tt1727261,Conor Sweeney,6.0,2482,Father's Day,FR,2011,99.0,Action,85000000.0,28681080.0,7000000.0,-49318920.0,-0.5802225882352942
285,tt1727261,Conor Sweeney,6.0,2482,Father's Day,FR,2011,99.0,Comedy,85000000.0,28681080.0,7000000.0,-49318920.0,-0.5802225882352942
285,tt1727261,Conor Sweeney,6.0,2482,Father's Day,FR,2011,99.0,Horror,85000000.0,28681080.0,7000000.0,-49318920.0,-0.5802225882352942
288,tt1727816,Reg Traviss,5.7,1900,Screwed,PL,2011,110.0,Crime,12000000.0,6982680.0,0.0,-5017320.0,-0.41811
288,tt1727816,Reg Traviss,5.7,1900,Screwed,PL,2011,110.0,Drama,12000000.0,6982680.0,0.0,-5017320.0,-0.41811
289,tt1411697,Todd Phillips,6.5,432800,The Hangover Part II,GR,2011,102.0,Comedy,80000000.0,254464305.0,332000000.0,506464305.0,6.3308038125
289,tt1411697,Todd Phillips,6.5,432800,The Hangover Part II,GR,2011,102.0,Mystery,80000000.0,254464305.0,332000000.0,506464305.0,6.3308038125
290,tt1737256,Kamen Kalev,5.1,705,The Island,PL,2011,95.0,Drama,120000000.0,35818913.0,127200000.0,43018913.0,0.3584909416666667
290,tt1737256,Kamen Kalev,5.1,705,The Island,PL,2011,95.0,Romance,120000000.0,35818913.0,127200000.0,43018913.0,0.3584909416666667
291,tt1389137,Cameron Crowe,7.1,126849,We Bought a Zoo,AR,2011,124.0,Comedy,50000000.0,75624550.0,43104523.0,68729073.0,1.37458146
291,tt1389137,Cameron Crowe,7.1,126849,We Bought a Zoo,AR,2011,124.0,Drama,50000000.0,75624550.0,43104523.0,68729073.0,1.37458146
291,tt1389137,Cameron Crowe,7.1,126849,We Bought a Zoo,AR,2011,124.0,Family,50000000.0,75624550.0,43104523.0,68729073.0,1.37458146
292,tt1748207,Zal Batmanglij,6.6,19387,Sound of My Voice,PL,2011,85.0,Drama,135000.0,408015.0,21433.0,294448.0,2.181096296296296
292,tt1748207,Zal Batmanglij,6.6,19387,Sound of My Voice,PL,2011,85.0,Mystery,135000.0,408015.0,21433.0,294448.0,2.181096296296296
292,tt1748207,Zal Batmanglij,6.6,19387,Sound of My Voice,PL,2011,85.0,Sci-Fi,135000.0,408015.0,21433.0,294448.0,2.181096296296296
293,tt1758692,Drake Doremus,6.7,55841,Like Crazy,BA,2011,86.0,Drama,250000.0,3395391.0,333009.0,3478400.0,13.9136
293,tt1758692,Drake Doremus,6.7,55841,Like Crazy,BA,2011,86.0,Romance,250000.0,3395391.0,333009.0,3478400.0,13.9136
294,tt1756851,Francis Ford Coppola,4.8,9774,Twixt,RU,2011,88.0,Comedy,7000000.0,0.0,1268346.0,-5731654.0,-0.8188077142857143
294,tt1756851,Francis Ford Coppola,4.8,9774,Twixt,RU,2011,88.0,Fantasy,7000000.0,0.0,1268346.0,-5731654.0,-0.8188077142857143
294,tt1756851,Francis Ford Coppola,4.8,9774,Twixt,RU,2011,88.0,Horror,7000000.0,0.0,1268346.0,-5731654.0,-0.8188077142857143
295,tt1742336,Lynn Shelton,6.7,24780,Your Sister's Sister,BG,2011,90.0,Comedy,120000.0,1597486.0,1493107.0,2970593.0,24.754941666666667
295,tt1742336,Lynn Shelton,6.7,24780,Your Sister's Sister,BG,2011,90.0,Drama,120000.0,1597486.0,1493107.0,2970593.0,24.754941666666667
296,tt1754838,Mika Kaurismäki,5.8,149,Brothers,DE,2011,90.0,Drama,26000000.0,28544157.0,16499713.0,19043870.0,0.7324565384615385
298,tt1385826,George Nolfi,7.1,227616,The Adjustment Bureau,RU,2011,106.0,Romance,50200000.0,62495645.0,64435680.0,76731325.0,1.5285124501992031
298,tt1385826,George Nolfi,7.1,227616,The Adjustment Bureau,RU,2011,106.0,Sci-Fi,50200000.0,62495645.0,64435680.0,76731325.0,1.5285124501992031
298,tt1385826,George Nolfi,7.1,227616,The Adjustment Bureau,RU,2011,106.0,Thriller,50200000.0,62495645.0,64435680.0,76731325.0,1.5285124501992031
300,tt1728973,Wolfgang Meyer,5.0,833,The Family,MX,2011,88.0,Horror,30000000.0,36918811.0,14159730.0,21078541.0,0.7026180333333333
300,tt1728973,Wolfgang Meyer,5.0,833,The Family,MX,2011,88.0,Thriller,30000000.0,36918811.0,14159730.0,21078541.0,0.7026180333333333
301,tt1735233,Brandon Slagle,5.0,159,Wonderland,US,2011,80.0,Fantasy,5500000.0,1060512.0,0.0,-4439488.0,-0.8071796363636363
301,tt1735233,Brandon Slagle,5.0,159,Wonderland,US,2011,80.0,Horror,5500000.0,1060512.0,0.0,-4439488.0,-0.8071796363636363
301,tt1735233,Brandon Slagle,5.0,159,Wonderland,US,2011,80.0,Sci-Fi,5500000.0,1060512.0,0.0,-4439488.0,-0.8071796363636363
302,tt1430607,Barry Cook,7.1,45439,Arthur Christmas,CO,2011,97.0,Adventure,85000000.0,46462469.0,103254655.0,64717124.0,0.7613779294117647
302,tt1430607,Barry Cook,7.1,45439,Arthur Christmas,CO,2011,97.0,Animation,85000000.0,46462469.0,103254655.0,64717124.0,0.7613779294117647
302,tt1430607,Barry Cook,7.1,45439,Arthur Christmas,CO,2011,97.0,Comedy,85000000.0,46462469.0,103254655.0,64717124.0,0.7613779294117647
303,tt1416801,Jonathan Hensleigh,7.1,41504,Kill the Irishman,HU,2011,106.0,Biography,12000000.0,1188194.0,0.0,-10811806.0,-0.9009838333333333
303,tt1416801,Jonathan Hensleigh,7.1,41504,Kill the Irishman,HU,2011,106.0,Crime,12000000.0,1188194.0,0.0,-10811806.0,-0.9009838333333333
303,tt1416801,Jonathan Hensleigh,7.1,41504,Kill the Irishman,HU,2011,106.0,Drama,12000000.0,1188194.0,0.0,-10811806.0,-0.9009838333333333
304,tt1411238,Ivan Reitman,6.2,197663,No Strings Attached,RS,2011,108.0,Comedy,25000000.0,70662220.0,78565858.0,124228078.0,4.96912312
304,tt1411238,Ivan Reitman,6.2,197663,No Strings Attached,RS,2011,108.0,Romance,25000000.0,70662220.0,78565858.0,124228078.0,4.96912312
305,tt1767382,Laura Lau,5.3,20831,Silent House,UY,2011,86.0,Drama,2000000.0,12739737.0,3871023.0,14610760.0,7.30538
305,tt1767382,Laura Lau,5.3,20831,Silent House,UY,2011,86.0,Horror,2000000.0,12739737.0,3871023.0,14610760.0,7.30538
305,tt1767382,Laura Lau,5.3,20831,Silent House,UY,2011,86.0,Mystery,2000000.0,12739737.0,3871023.0,14610760.0,7.30538
307,tt1401152,Jaume Collet-Serra,6.9,235167,Unknown,LT,2011,113.0,Action,40000000.0,63686397.0,72436686.0,96123083.0,2.403077075
307,tt1401152,Jaume Collet-Serra,6.9,235167,Unknown,LT,2011,113.0,Mystery,40000000.0,63686397.0,72436686.0,96123083.0,2.403077075
307,tt1401152,Jaume Collet-Serra,6.9,235167,Unknown,LT,2011,113.0,Thriller,40000000.0,63686397.0,72436686.0,96123083.0,2.403077075
308,tt1742650,Douglas McGrath,4.9,18552,I Don't Know How She Does It,LT,2011,89.0,Comedy,24000000.0,9659074.0,14815389.0,474463.0,0.019769291666666668
308,tt1742650,Douglas McGrath,4.9,18552,I Don't Know How She Does It,LT,2011,89.0,Romance,24000000.0,9659074.0,14815389.0,474463.0,0.019769291666666668
309,tt1753460,Eldar Rapaport,5.9,1609,August,RS,2011,99.0,Drama,3400000.0,12636.0,0.0,-3387364.0,-0.9962835294117647
309,tt1753460,Eldar Rapaport,5.9,1609,August,RS,2011,99.0,Romance,3400000.0,12636.0,0.0,-3387364.0,-0.9962835294117647
311,tt1728200,Andrijana Stojkovic,6.3,51,The Box,BG,2011,89.0,Drama,25000000.0,15051977.0,19304783.0,9356760.0,0.3742704
312,tt1411664,Tom Brady,3.3,10648,Bucky Larson: Born to Be a Star,RU,2011,97.0,Comedy,10000000.0,2529395.0,0.0,-7470605.0,-0.7470605
313,tt1422136,Julian Gilbey,6.3,25547,A Lonely Place to Die,FR,2011,99.0,Adventure,4000000.0,0.0,442550.0,-3557450.0,-0.8893625
313,tt1422136,Julian Gilbey,6.3,25547,A Lonely Place to Die,FR,2011,99.0,Crime,4000000.0,0.0,442550.0,-3557450.0,-0.8893625
313,tt1422136,Julian Gilbey,6.3,25547,A Lonely Place to Die,FR,2011,99.0,Thriller,4000000.0,0.0,442550.0,-3557450.0,-0.8893625
314,tt1306980,Jonathan Levine,7.7,300475,50/50,US,2011,100.0,Comedy,8000000.0,35016118.0,6318617.0,33334735.0,4.166841875
314,tt1306980,Jonathan Levine,7.7,300475,50/50,US,2011,100.0,Drama,8000000.0,35016118.0,6318617.0,33334735.0,4.166841875
314,tt1306980,Jonathan Levine,7.7,300475,50/50,US,2011,100.0,Romance,8000000.0,35016118.0,6318617.0,33334735.0,4.166841875
316,tt1594562,Ti West,5.5,31089,The Innkeepers,RO,2011,101.0,Drama,750000.0,78396.0,933139.0,261535.0,0.3487133333333333
316,tt1594562,Ti West,5.5,31089,The Innkeepers,RO,2011,101.0,Horror,750000.0,78396.0,933139.0,261535.0,0.3487133333333333
316,tt1594562,Ti West,5.5,31089,The Innkeepers,RO,2011,101.0,Mystery,750000.0,78396.0,933139.0,261535.0,0.3487133333333333
317,tt1588334,Mark Duplass,6.5,60070,"Jeff, Who Lives at Home",PL,2011,83.0,Comedy,10000000.0,4269426.0,438701.0,-5291873.0,-0.5291873
317,tt1588334,Mark Duplass,6.5,60070,"Jeff, Who Lives at Home",PL,2011,83.0,Drama,10000000.0,4269426.0,438701.0,-5291873.0,-0.5291873
319,tt1650043,David Bowers,6.6,23135,Diary of a Wimpy Kid: Rodrick Rules,PL,2011,99.0,Comedy,18000000.0,52698535.0,20996659.0,55695194.0,3.0941774444444445
319,tt1650043,David Bowers,6.6,23135,Diary of a Wimpy Kid: Rodrick Rules,PL,2011,99.0,Family,18000000.0,52698535.0,20996659.0,55695194.0,3.0941774444444445
320,tt1586752,Marc Forster,6.8,60074,Machine Gun Preacher,LT,2011,129.0,Action,30000000.0,538690.0,3183298.0,-26278012.0,-0.8759337333333334
320,tt1586752,Marc Forster,6.8,60074,Machine Gun Preacher,LT,2011,129.0,Biography,30000000.0,538690.0,3183298.0,-26278012.0,-0.8759337333333334
320,tt1586752,Marc Forster,6.8,60074,Machine Gun Preacher,LT,2011,129.0,Crime,30000000.0,538690.0,3183298.0,-26278012.0,-0.8759337333333334
321,tt1650062,J.J. Abrams,7.0,320575,Super 8,MX,2011,112.0,Mystery,50000000.0,127004179.0,130968566.0,207972745.0,4.1594549
321,tt1650062,J.J. Abrams,7.0,320575,Super 8,MX,2011,112.0,Sci-Fi,50000000.0,127004179.0,130968566.0,207972745.0,4.1594549
321,tt1650062,J.J. Abrams,7.0,320575,Super 8,MX,2011,112.0,Thriller,50000000.0,127004179.0,130968566.0,207972745.0,4.1594549
322,tt1583420,Tom Hanks,6.1,58927,Larry Crowne,NO,2011,98.0,Comedy,30000000.0,35608245.0,25840890.0,31449135.0,1.0483045
322,tt1583420,Tom Hanks,6.1,58927,Larry Crowne,NO,2011,98.0,Drama,30000000.0,35608245.0,25840890.0,31449135.0,1.0483045
322,tt1583420,Tom Hanks,6.1,58927,Larry Crowne,NO,2011,98.0,Romance,30000000.0,35608245.0,25840890.0,31449135.0,1.0483045
323,tt1655420,Simon Curtis,7.0,79337,My Week with Marilyn,GR,2011,99.0,Biography,10000000.0,14597405.0,19643167.0,24240572.0,2.4240572
323,tt1655420,Simon Curtis,7.0,79337,My Week with Marilyn,GR,2011,99.0,Drama,10000000.0,14597405.0,19643167.0,24240572.0,2.4240572
324,tt1578275,Ron Howard,5.3,48148,The Dilemma,MX,2011,111.0,Comedy,70000000.0,48475290.0,22071575.0,546865.0,0.007812357142857143
324,tt1578275,Ron Howard,5.3,48148,The Dilemma,MX,2011,111.0,Drama,70000000.0,48475290.0,22071575.0,546865.0,0.007812357142857143
325,tt1655442,Michel Hazanavicius,7.9,217184,The Artist,US,2011,100.0,Comedy,16000000.0,44667095.0,83589617.0,112256712.0,7.0160445
325,tt1655442,Michel Hazanavicius,7.9,217184,The Artist,US,2011,100.0,Drama,16000000.0,44667095.0,83589617.0,112256712.0,7.0160445
325,tt1655442,Michel Hazanavicius,7.9,217184,The Artist,US,2011,100.0,Romance,16000000.0,44667095.0,83589617.0,112256712.0,7.0160445
326,tt1571222,David Cronenberg,6.4,93259,A Dangerous Method,CL,2011,99.0,Biography,20000000.0,5702083.0,9105448.0,-5192469.0,-0.25962345
326,tt1571222,David Cronenberg,6.4,93259,A Dangerous Method,CL,2011,99.0,Drama,20000000.0,5702083.0,9105448.0,-5192469.0,-0.25962345
326,tt1571222,David Cronenberg,6.4,93259,A Dangerous Method,CL,2011,99.0,Romance,20000000.0,5702083.0,9105448.0,-5192469.0,-0.25962345
327,tt1645080,Gavin Wiesen,6.6,53682,The Art of Getting By,US,2011,83.0,Drama,4000000.0,1430241.0,558794.0,-2010965.0,-0.50274125
327,tt1645080,Gavin Wiesen,6.6,53682,The Art of Getting By,US,2011,83.0,Romance,4000000.0,1430241.0,558794.0,-2010965.0,-0.50274125
328,tt1568911,Steven Spielberg,7.2,136447,War Horse,SI,2011,146.0,Drama,70000000.0,79883359.0,76932170.0,86815529.0,1.2402218428571428
328,tt1568911,Steven Spielberg,7.2,136447,War Horse,SI,2011,146.0,History,70000000.0,79883359.0,76932170.0,86815529.0,1.2402218428571428
328,tt1568911,Steven Spielberg,7.2,136447,War Horse,SI,2011,146.0,War,70000000.0,79883359.0,76932170.0,86815529.0,1.2402218428571428
329,tt1564349,Charles Martin Smith,6.9,20746,Dolphin Tale,RU,2011,113.0,Drama,37000000.0,72286779.0,23781945.0,59068724.0,1.596452
329,tt1564349,Charles Martin Smith,6.9,20746,Dolphin Tale,RU,2011,113.0,Family,37000000.0,72286779.0,23781945.0,59068724.0,1.596452
330,tt1657507,Olivier Megaton,6.4,87659,Colombiana,TR,2011,108.0,Action,40000000.0,36665854.0,35629408.0,32295262.0,0.80738155
330,tt1657507,Olivier Megaton,6.4,87659,Colombiana,TR,2011,108.0,Drama,40000000.0,36665854.0,35629408.0,32295262.0,0.80738155
330,tt1657507,Olivier Megaton,6.4,87659,Colombiana,TR,2011,108.0,Thriller,40000000.0,36665854.0,35629408.0,32295262.0,0.80738155
331,tt1563738,Lone Scherfig,7.0,128094,One Day,EE,2011,107.0,Drama,15000000.0,13843771.0,45324921.0,44168692.0,2.9445794666666667
331,tt1563738,Lone Scherfig,7.0,128094,One Day,EE,2011,107.0,Romance,15000000.0,13843771.0,45324921.0,44168692.0,2.9445794666666667
332,tt1562568,Vera Farmiga,6.3,2869,Higher Ground,SI,2011,109.0,Drama,1800000.0,841056.0,1637.0,-957307.0,-0.5318372222222222
333,tt1661420,Maïwenn,7.3,12506,Polisse,GR,2011,127.0,Crime,8900000.0,176988.0,22567144.0,13844132.0,1.5555204494382022
333,tt1661420,Maïwenn,7.3,12506,Polisse,GR,2011,127.0,Drama,8900000.0,176988.0,22567144.0,13844132.0,1.5555204494382022
334,tt1555814,Rodger Edralin,6.5,19,Grace,CA,2011,98.0,Crime,5000000.0,8297.0,0.0,-4991703.0,-0.9983406
334,tt1555814,Rodger Edralin,6.5,19,Grace,CA,2011,98.0,Drama,5000000.0,8297.0,0.0,-4991703.0,-0.9983406
334,tt1555814,Rodger Edralin,6.5,19,Grace,CA,2011,98.0,Horror,5000000.0,8297.0,0.0,-4991703.0,-0.9983406
335,tt1554091,Chris Weitz,7.2,14602,A Better Life,IT,2011,98.0,Drama,10000000.0,1759252.0,124999.0,-8115749.0,-0.8115749
335,tt1554091,Chris Weitz,7.2,14602,A Better Life,IT,2011,98.0,Romance,10000000.0,1759252.0,124999.0,-8115749.0,-0.8115749
336,tt1551641,Darrell Roodt,6.0,695,Winnie Mandela,CA,2011,104.0,Biography,15000000.0,61847.0,0.0,-14938153.0,-0.9958768666666666
336,tt1551641,Darrell Roodt,6.0,695,Winnie Mandela,CA,2011,104.0,Drama,15000000.0,61847.0,0.0,-14938153.0,-0.9958768666666666
336,tt1551641,Darrell Roodt,6.0,695,Winnie Mandela,CA,2011,104.0,History,15000000.0,61847.0,0.0,-14938153.0,-0.9958768666666666
337,tt1549572,Mike Cahill,7.0,85839,Another Earth,PT,2011,92.0,Drama,175000.0,1321194.0,781585.0,1927779.0,11.01588
337,tt1549572,Mike Cahill,7.0,85839,Another Earth,PT,2011,92.0,Romance,175000.0,1321194.0,781585.0,1927779.0,11.01588
337,tt1549572,Mike Cahill,7.0,85839,Another Earth,PT,2011,92.0,Sci-Fi,175000.0,1321194.0,781585.0,1927779.0,11.01588
338,tt1541995,Wayne Wang,6.1,3429,Snow Flower and the Secret Fan,DE,2011,104.0,Drama,6000000.0,1348205.0,10000000.0,5348205.0,0.8913675
338,tt1541995,Wayne Wang,6.1,3429,Snow Flower and the Secret Fan,DE,2011,104.0,History,6000000.0,1348205.0,10000000.0,5348205.0,0.8913675
339,tt1540133,John Michael McDonagh,7.3,75183,The Guard,IL,2011,96.0,Comedy,6000000.0,5359774.0,15837680.0,15197454.0,2.532909
339,tt1540133,John Michael McDonagh,7.3,75183,The Guard,IL,2011,96.0,Crime,6000000.0,5359774.0,15837680.0,15197454.0,2.532909
